step,session,session_step,group_id,group_name,section_v2,section_title,slide_id,identifier,step_title,description,element_group,placement_group,interactive,simplification,notes
1,Discover,1,1,What Is AI?,0,Who's Used AI?,0,who.s0,Show of hands hook,Title card. Teacher prompts: 'Raise your hand if you've ever talked to Siri/Alexa/Google.',warmup-hands,warmup-canvas,STATIC,,
2,Discover,2,1,What Is AI?,0,Who's Used AI?,1,who.s1,AI examples grid,"Grid of 8 AI apps (Siri, Netflix, games, camera, ChatGPT, Spotify, Google, filters) reveals one by one. 'Keep your hand up if YouTube/Netflix has suggested something you liked.'",warmup-hands,warmup-canvas,AUTO-ANIM,,
3,Discover,3,1,What Is AI?,0,Who's Used AI?,2,who.s2,Open brainstorm,Prompt: 'What other apps do you think use AI?' Accept all answers — no pressure to define AI yet.,warmup-discuss,warmup-canvas,STATIC,,
4,Discover,4,1,What Is AI?,1,Story Mash-Up!,0,story.s0,GenAI intro,"Define generative AI: until recently AI sorted/recommended; ~2017 Transformer + Nov 2022 ChatGPT changed it — AI now CREATES (stories, images, music, code).",story-frame,frame,STATIC,We say 'AI learned to create' — really it's pattern-matched generation from massive data.,
5,Discover,5,1,What Is AI?,1,Story Mash-Up!,1,story.s1,Demo title,Title card sets up the wow moment: 3 random ingredients → one story.,story-demo,demo-canvas,STATIC,,
6,Discover,6,1,What Is AI?,1,Story Mash-Up!,2,story.s2,Live prompt entry,"3 students secretly enter a character, place, and event (manual input or QR-scan from phones).",story-demo,demo-canvas,INPUT,,Two entry modes: remote (QR/phone) or manual classroom keyboard.
7,Discover,7,1,What Is AI?,1,Story Mash-Up!,3,story.s3,Story streams in,"Real LLM streams the story word by word, weaving the 3 ingredients together. Stay quiet — let the magic land. After: 'How did it know how to do that?'",story-demo,demo-canvas,AUTO-ANIM,,Replayable — class can run 2–3 times if loving it.
8,Discover,8,1,What Is AI?,1,Story Mash-Up!,4,story.s4,What is a prompt?,Connect the dots: the 3 inputs combined into a PROMPT. Define prompt. Optional 'behind the scenes' panel reveals the actual system/user/assistant messages sent to the AI.,story-explain,explain-canvas,STATIC,,behindTheScenes panel can expand to show the chat-format messages.
9,Discover,9,1,What Is AI?,1,Story Mash-Up!,5,story.s5,Word-by-word visual,"Animation walks through how each new word is picked based on all words before it. AI doesn't plan the ending first — it predicts ONE word, then the next.",story-explain,explain-canvas,AUTO-ANIM,,
10,Discover,10,1,What Is AI?,2,What IS AI?,0,whatis.s0,Vote: 3 options,"'Is AI a robot, a smart program, or a digital brain?' Class votes by raising hands for each option. All three are partly right.",whatis-vote,vote-canvas,SELECT,,
11,Discover,11,1,What Is AI?,2,What IS AI?,1,whatis.s1,Reveal: it learns,Real answer: regular programs follow rules someone WROTE. AI learns rules ITSELF from millions of examples — like how you learned to talk by hearing people talk.,whatis-reveal,vote-canvas,STATIC,,
